h n1 d n2 err
843.000000 5.000000 0.203949 75.000000 0.167950
796.000000 8.000000 0.571880 41.000000 0.167950
751.000000 3.000000 0.515853 57.000000 0.168000
724.000000 10.000000 0.361502 27.000000 0.168000
748.000000 10.000000 0.763486 57.000000 0.168050
731.000000 7.000000 0.363123 66.000000 0.168050
669.000000 6.000000 0.384976 74.000000 0.168050
873.000000 8.000000 0.860368 79.000000 0.168050
628.000000 5.000000 0.339709 33.000000 0.168100
816.000000 8.000000 0.189491 63.000000 0.168200
702.000000 5.000000 0.547091 74.000000 0.168200
648.000000 8.000000 0.536124 47.000000 0.168200
666.000000 3.000000 0.232082 49.000000 0.168300
754.000000 8.000000 0.751099 13.000000 0.168300
564.000000 11.000000 0.585870 50.000000 0.168350
735.000000 8.000000 0.479377 50.000000 0.168350
738.000000 10.000000 0.398277 69.000000 0.168400
837.000000 1.000000 0.246260 55.000000 0.168400
815.000000 6.000000 0.214206 45.000000 0.168400
588.000000 8.000000 0.397672 26.000000 0.168450
679.000000 8.000000 0.337816 55.000000 0.168450
737.000000 5.000000 0.556803 51.000000 0.168450
838.000000 3.000000 0.763641 75.000000 0.168550
618.000000 7.000000 0.753382 60.000000 0.168550
