h n1 d n2 e err
830.000000 2.000000 0.130007 8.000000 10.000000 0.161800
751.000000 3.000000 0.247482 12.000000 4.000000 0.161900
974.000000 1.000000 0.130345 14.000000 8.000000 0.162000
665.000000 3.000000 0.256045 42.000000 8.000000 0.162050
803.000000 4.000000 0.365292 39.000000 11.000000 0.162200
849.000000 6.000000 0.066431 21.000000 12.000000 0.162200
658.000000 3.000000 0.157037 38.000000 8.000000 0.162250
691.000000 4.000000 0.014245 25.000000 5.000000 0.162350
920.000000 5.000000 0.036962 28.000000 15.000000 0.162350
708.000000 7.000000 0.026485 23.000000 8.000000 0.162450
865.000000 7.000000 0.092098 3.000000 2.000000 0.162450
770.000000 5.000000 0.098729 15.000000 11.000000 0.162550
684.000000 4.000000 0.014843 19.000000 7.000000 0.162550
783.000000 7.000000 0.085136 33.000000 10.000000 0.162650
727.000000 6.000000 0.257333 47.000000 12.000000 0.162650
790.000000 4.000000 0.192728 47.000000 14.000000 0.162750
983.000000 4.000000 0.064576 46.000000 11.000000 0.162950
971.000000 3.000000 0.376554 4.000000 7.000000 0.163000
729.000000 2.000000 0.129416 50.000000 8.000000 0.163100
867.000000 3.000000 0.200118 38.000000 12.000000 0.163100
928.000000 7.000000 0.046631 47.000000 12.000000 0.163100
674.000000 3.000000 0.075481 23.000000 4.000000 0.163150
725.000000 6.000000 0.179843 5.000000 13.000000 0.163200
801.000000 5.000000 0.371814 43.000000 11.000000 0.163200
727.000000 4.000000 0.114000 3.000000 11.000000 0.163550
943.000000 1.000000 0.132489 25.000000 12.000000 0.163650
709.000000 4.000000 0.202422 31.000000 6.000000 0.163950
756.000000 3.000000 0.294478 20.000000 10.000000 0.164150
696.000000 4.000000 0.005457 26.000000 7.000000 0.164250
928.000000 2.000000 0.190753 51.000000 9.000000 0.164500
757.000000 6.000000 0.241848 37.000000 12.000000 0.164900
728.000000 6.000000 0.284707 49.000000 12.000000 0.164950
664.000000 3.000000 0.099719 19.000000 13.000000 0.165150
832.000000 6.000000 0.026198 31.000000 15.000000 0.165150
832.000000 8.000000 0.017598 24.000000 13.000000 0.165250
674.000000 5.000000 0.033646 13.000000 8.000000 0.165350
961.000000 1.000000 0.177192 13.000000 12.000000 0.165500
966.000000 7.000000 0.020910 50.000000 15.000000 0.165700
664.000000 6.000000 0.089094 18.000000 6.000000 0.165700
852.000000 2.000000 0.197614 24.000000 14.000000 0.165750
689.000000 5.000000 0.188038 21.000000 14.000000 0.165750
636.000000 7.000000 0.027324 14.000000 5.000000 0.165800
819.000000 3.000000 0.183592 22.000000 15.000000 0.165850
978.000000 2.000000 0.256001 7.000000 3.000000 0.165950
849.000000 10.000000 0.070854 14.000000 1.000000 0.166200
977.000000 2.000000 0.256559 2.000000 2.000000 0.166500
878.000000 2.000000 0.183347 12.000000 12.000000 0.166600
633.000000 7.000000 0.284667 15.000000 5.000000 0.166700
842.000000 6.000000 0.086169 56.000000 1.000000 0.166800
748.000000 3.000000 0.140017 38.000000 15.000000 0.166850
802.000000 2.000000 0.262978 39.000000 11.000000 0.167100
642.000000 6.000000 0.010485 11.000000 7.000000 0.167250
622.000000 5.000000 0.173003 35.000000 14.000000 0.167500
665.000000 4.000000 0.053993 3.000000 13.000000 0.167550
637.000000 5.000000 0.085032 3.000000 12.000000 0.167850
586.000000 7.000000 0.017730 27.000000 5.000000 0.168000
861.000000 1.000000 0.232441 10.000000 6.000000 0.168350
569.000000 6.000000 0.155593 34.000000 6.000000 0.168500
544.000000 5.000000 0.168309 45.000000 4.000000 0.168650
